Name,Season,Date,Competition,Round,Venue,Result,Squad,Opponent
Dele Alli,2019-2020,2020-03-10,Champions Lg,Round of 16,Away,L 0–3,Tottenham,RB Leipzig
Marc Albrighton,2018-2019,2019-04-12,Premier League,Matchweek 34,Home,L 0–1,Leicester City,Newcastle Utd
Marc Albrighton,2018-2019,2019-04-20,Premier League,Matchweek 35,Away,D 2–2,Leicester City,West Ham
Marc Albrighton,2018-2019,2019-04-28,Premier League,Matchweek 36,Home,W 3–0,Leicester City,Arsenal
Marc Albrighton,2018-2019,2019-05-06,Premier League,Matchweek 37,Away,L 0–1,Leicester City,Manchester City
Marc Albrighton,2018-2019,2019-05-12,Premier League,Matchweek 38,Home,D 0–0,Leicester City,Chelsea
Trent Alexander-Arnold,2017-2018,2017-08-15,Champions Lg,Play-off Round,Away,W 2–1,Liverpool,Hoffenheim
Trent Alexander-Arnold,2017-2018,2017-08-23,Champions Lg,Play-off Round,Home,W 4–2,Liverpool,Hoffenheim
Trent Alexander-Arnold,2017-2018,2017-09-09,Premier League,Matchweek 4,Away,L 0–5,Liverpool,Manchester City
Trent Alexander-Arnold,2017-2018,2017-09-16,Premier League,Matchweek 5,Home,D 1–1,Liverpool,Burnley
Trent Alexander-Arnold,2017-2018,2017-09-26,Champions Lg,Group stage,Away,D 1–1,Liverpool,Spartak Moscow
Trent Alexander-Arnold,2017-2018,2017-10-17,Champions Lg,Group stage,Away,W 7–0,Liverpool,NK Maribor
Trent Alexander-Arnold,2017-2018,2017-10-23,PL2 — Div. 1,Regular Season,Away,W 3–1,Liverpool,Manchester Utd
Trent Alexander-Arnold,2017-2018,2017-11-01,Champions Lg,Group stage,Home,W 3–0,Liverpool,NK Maribor
Trent Alexander-Arnold,2017-2018,2017-11-18,Premier League,Matchweek 12,Home,W 3–0,Liverpool,Southampton
Trent Alexander-Arnold,2017-2018,2017-12-02,Premier League,Matchweek 15,Away,W 5–1,Liverpool,Brighton
Trent Alexander-Arnold,2017-2018,2017-12-06,Champions Lg,Group stage,Home,W 7–0,Liverpool,Spartak Moscow
Trent Alexander-Arnold,2017-2018,2017-12-13,Premier League,Matchweek 17,Home,D 0–0,Liverpool,West Brom
Trent Alexander-Arnold,2017-2018,2017-12-26,Premier League,Matchweek 20,Home,W 5–0,Liverpool,Swansea City
Trent Alexander-Arnold,2017-2018,2018-01-01,Premier League,Matchweek 22,Away,W 2–1,Liverpool,Burnley
Trent Alexander-Arnold,2017-2018,2018-01-05,FA Cup,Third round,Home,W 2–1,Liverpool,Everton
Toby Alderweireld,2019-2020,2019-08-17,Premier League,Matchweek 2,Away,D 2–2,Tottenham,Manchester City
Toby Alderweireld,2019-2020,2019-08-25,Premier League,Matchweek 3,Home,L 0–1,Tottenham,Newcastle Utd
Toby Alderweireld,2019-2020,2019-09-01,Premier League,Matchweek 4,Away,D 2–2,Tottenham,Arsenal
Toby Alderweireld,2019-2020,2019-09-06,Euro Qualifying,Group stage,Away,W 4–0,Belgium,San Marino
