Name,Season,Date,Competition,Round,Venue,Result,Squad,Opponent
Serge Aurier,2019-2020,2019-12-26,Premier League,Matchweek 19,Home,W 2–1,Tottenham,Brighton
Serge Aurier,2019-2020,2019-12-28,Premier League,Matchweek 20,Away,D 2–2,Tottenham,Norwich City
Serge Aurier,2019-2020,2020-01-01,Premier League,Matchweek 21,Away,L 0–1,Tottenham,Southampton
Serge Aurier,2019-2020,2020-01-05,FA Cup,Third round,Away,D 1–1,Tottenham,Middlesbrough
Jordan Ayew,2017-2018,2018-01-02,Premier League,Matchweek 22,Home,L 0–2,Swansea City,Tottenham
Jordan Ayew,2017-2018,2018-01-06,FA Cup,Third round,Away,D 0–0,Swansea City,Wolves
Jordan Ayew,2017-2018,2018-01-13,Premier League,Matchweek 23,Away,D 1–1,Swansea City,Newcastle Utd
Jordan Ayew,2017-2018,2018-01-17,FA Cup,Third round,Home,W 2–1,Swansea City,Wolves
Jordan Ayew,2017-2018,2018-01-22,Premier League,Matchweek 24,Home,W 1–0,Swansea City,Liverpool
Jordan Ayew,2017-2018,2018-01-27,FA Cup,Fourth round,Away,D 1–1,Swansea City,Notts County
Jordan Ayew,2017-2018,2018-01-30,Premier League,Matchweek 25,Home,W 3–1,Swansea City,Arsenal
Jordan Ayew,2017-2018,2018-02-03,Premier League,Matchweek 26,Away,D 1–1,Swansea City,Leicester City
Jordan Ayew,2017-2018,2018-02-10,Premier League,Matchweek 27,Home,W 1–0,Swansea City,Burnley
Jordan Ayew,2017-2018,2018-02-17,FA Cup,Fifth round,Away,D 0–0,Swansea City,Sheffield Weds
Jordan Ayew,2017-2018,2018-02-24,Premier League,Matchweek 28,Away,L 1–4,Swansea City,Brighton
Jordan Ayew,2017-2018,2018-02-27,FA Cup,Fifth round,Home,W 2–0,Swansea City,Sheffield Weds
César Azpilicueta,2018-2019,2018-12-26,Premier League,Matchweek 19,Away,W 2–1,Chelsea,Watford
César Azpilicueta,2018-2019,2018-12-30,Premier League,Matchweek 20,Away,W 1–0,Chelsea,Crystal Palace
César Azpilicueta,2018-2019,2019-01-02,Premier League,Matchweek 21,Home,D 0–0,Chelsea,Southampton
César Azpilicueta,2018-2019,2019-01-05,FA Cup,Third round,Home,W 2–0,Chelsea,Nott'ham Forest
César Azpilicueta,2018-2019,2019-01-08,EFL Cup,Semi-finals,Away,L 0–1,Chelsea,Tottenham
César Azpilicueta,2018-2019,2019-01-12,Premier League,Matchweek 22,Home,W 2–1,Chelsea,Newcastle Utd
César Azpilicueta,2018-2019,2019-01-19,Premier League,Matchweek 23,Away,L 0–2,Chelsea,Arsenal
César Azpilicueta,2018-2019,2019-01-24,EFL Cup,Semi-finals,Home,W 2 ,Chelsea,Tottenham
César Azpilicueta,2018-2019,2019-01-27,FA Cup,Fourth round,Home,W 3–0,Chelsea,Sheffield Weds
César Azpilicueta,2018-2019,2019-01-30,Premier League,Matchweek 24,Away,L 0–4,Chelsea,Bournemouth
César Azpilicueta,2018-2019,2019-02-02,Premier League,Matchweek 25,Home,W 5–0,Chelsea,Huddersfield
César Azpilicueta,2018-2019,2019-02-10,Premier League,Matchweek 26,Away,L 0–6,Chelsea,Manchester City
Florin Andone,2018-2019,2019-05-12,Premier League,Matchweek 38,Home,L 1–4,Brighton,Manchester City
Serge Aurier,2018-2019,2019-06-24,Africa Cup of Nations,Group stage,Neutral,W 1–0,Côte d'Ivoire,South Africa
Serge Aurier,2018-2019,2019-06-28,Africa Cup of Nations,Group stage,Neutral,L 0–1,Côte d'Ivoire,Morocco
Angeliño,2018-2019,2018-12-15,Dutch Eredivisie,Regular Season,Away,W 4–0,PSV Eindhoven,Heracles Almelo
Angeliño,2018-2019,2018-12-22,Dutch Eredivisie,Regular Season,Home,W 3–1,PSV Eindhoven,AZ Alkmaar
Angeliño,2018-2019,2019-01-20,Dutch Eredivisie,Regular Season,Away,D 2–2,PSV Eindhoven,Emmen
Angeliño,2018-2019,2019-01-26,Dutch Eredivisie,Regular Season,Home,W 2–1,PSV Eindhoven,Groningen
Angeliño,2018-2019,2019-02-03,Dutch Eredivisie,Regular Season,Home,W 5–0,PSV Eindhoven,Fortuna Sittard
Angeliño,2018-2019,2019-02-10,Dutch Eredivisie,Regular Season,Away,D 2–2,PSV Eindhoven,Utrecht
Angeliño,2018-2019,2019-02-16,Dutch Eredivisie,Regular Season,Away,D 2–2,PSV Eindhoven,Heerenveen
Angeliño,2018-2019,2019-02-24,Dutch Eredivisie,Regular Season,Home,D 1–1,PSV Eindhoven,Feyenoord
Angeliño,2018-2019,2019-03-02,Dutch Eredivisie,Regular Season,Away,W 2–0,PSV Eindhoven,Excelsior
Angeliño,2018-2019,2019-03-09,Dutch Eredivisie,Regular Season,Home,W 2–0,PSV Eindhoven,NAC Breda
Angeliño,2018-2019,2019-03-17,Dutch Eredivisie,Regular Season,Away,W 1–0,PSV Eindhoven,VVV-Venlo
Angeliño,2018-2019,2019-03-31,Dutch Eredivisie,Regular Season,Away,L 1–3,PSV Eindhoven,Ajax
Angeliño,2018-2019,2019-04-04,Dutch Eredivisie,Regular Season,Home,W 4–0,PSV Eindhoven,Zwolle
Angeliño,2018-2019,2019-04-07,Dutch Eredivisie,Regular Season,Away,D 3–3,PSV Eindhoven,Vitesse
Angeliño,2018-2019,2019-04-14,Dutch Eredivisie,Regular Season,Home,W 2–1,PSV Eindhoven,De Graafschap
Ibrahim Amadou,2019-2020,2020-03-08,La Liga,Matchweek 27,Away,W 2–1,Leganés,Villarreal
Ibrahim Amadou,2019-2020,2020-06-13,La Liga,Matchweek 28,Home,L 1–2,Leganés,Valladolid
Ibrahim Amadou,2019-2020,2020-06-16,La Liga,Matchweek 29,Away,L 0–2,Leganés,Barcelona
Ibrahim Amadou,2019-2020,2020-06-19,La Liga,Matchweek 30,Away,D 1–1,Leganés,Mallorca
Tom Davies,2018-2019,2019-01-29,Premier League,Matchweek 24,Away,W 1–0,Everton,Huddersfield
Tom Davies,2018-2019,2019-02-02,Premier League,Matchweek 25,Home,L 1–3,Everton,Wolves
Tom Davies,2018-2019,2019-02-06,Premier League,Matchweek 27,Home,L 0–2,Everton,Manchester City
Tom Davies,2018-2019,2019-02-09,Premier League,Matchweek 26,Away,L 0–1,Everton,Watford
Tom Davies,2018-2019,2019-03-17,Premier League,Matchweek 31,Home,W 2–0,Everton,Chelsea
Tom Davies,2018-2019,2019-03-30,Premier League,Matchweek 32,Away,W 2–0,Everton,West Ham
Tom Davies,2018-2019,2019-04-07,Premier League,Matchweek 33,Home,W 1–0,Everton,Arsenal
Ibrahim Amadou,2018-2019,2018-12-08,La Liga,Matchweek 15,Away,D 1–1,Sevilla,Valencia
Ibrahim Amadou,2018-2019,2018-12-13,Europa Lg,Group stage,Home,W 3–0,Sevilla,Krasnodar
Ibrahim Amadou,2018-2019,2018-12-23,La Liga,Matchweek 17,Away,D 1–1,Sevilla,Leganés
Ibrahim Amadou,2018-2019,2019-01-06,La Liga,Matchweek 18,Home,D 1–1,Sevilla,Atlético Madrid
Ibrahim Amadou,2018-2019,2019-01-10,Copa del Rey,Round of 16,Away,W 3–1,Sevilla,Athletic Club
Ibrahim Amadou,2018-2019,2019-01-16,Copa del Rey,Round of 16,Home,L 0–1,Sevilla,Athletic Club
Ibrahim Amadou,2018-2019,2019-01-23,Copa del Rey,Quarter-finals,Home,W 2–0,Sevilla,Barcelona
Ibrahim Amadou,2018-2019,2019-01-26,La Liga,Matchweek 21,Home,W 5–0,Sevilla,Levante
Ibrahim Amadou,2018-2019,2019-01-30,Copa del Rey,Quarter-finals,Away,L 1–6,Sevilla,Barcelona
Ibrahim Amadou,2018-2019,2019-02-02,La Liga,Matchweek 22,Away,L 0–1,Sevilla,Celta Vigo
Ibrahim Amadou,2018-2019,2019-02-14,Europa Lg,Round of 32,Away,W 1–0,Sevilla,Lazio
Ibrahim Amadou,2018-2019,2019-02-17,La Liga,Matchweek 24,Away,L 0–3,Sevilla,Villarreal
Ibrahim Amadou,2018-2019,2019-02-20,Europa Lg,Round of 32,Home,W 2–0,Sevilla,Lazio
Ibrahim Amadou,2018-2019,2019-02-23,La Liga,Matchweek 25,Home,L 2–4,Sevilla,Barcelona
Ibrahim Amadou,2018-2019,2019-03-17,La Liga,Matchweek 28,Away,W 1–0,Sevilla,Espanyol
Florin Andone,2017-2018,2017-08-20,La Liga,Matchweek 1,Home,L 0–3,La Coruña,Real Madrid
Faustino Anjorin,2019-2020,2019-08-12,PL2 — Div. 1,Matchweek 1,Away,W 1–0,Chelsea,Derby County
Serge Aurier,2017-2018,2017-09-02,WCQ — CAF (M),Third round,Away,W 3–0,Côte d'Ivoire,Gabon
Michail Antonio,2017-2018,2017-08-11,PL2 — Div. 1,Regular Season,Home,D 0–0,West Ham,Everton
Tom Davies,2019-2020,2019-12-21,Premier League,Matchweek 18,Home,D 0–0,Everton,Arsenal
Tom Davies,2019-2020,2019-12-26,Premier League,Matchweek 19,Home,W 1–0,Everton,Burnley
Tom Davies,2019-2020,2019-12-28,Premier League,Matchweek 20,Away,W 2–1,Everton,Newcastle Utd
Tom Davies,2019-2020,2020-01-01,Premier League,Matchweek 21,Away,L 1–2,Everton,Manchester City
Tom Davies,2019-2020,2020-01-11,Premier League,Matchweek 22,Home,W 1–0,Everton,Brighton
Tom Davies,2019-2020,2020-01-18,Premier League,Matchweek 23,Away,D 1–1,Everton,West Ham
Tom Davies,2019-2020,2020-01-21,Premier League,Matchweek 24,Home,D 2–2,Everton,Newcastle Utd
Tom Davies,2019-2020,2020-02-08,Premier League,Matchweek 26,Home,W 3–1,Everton,Crystal Palace
Tom Davies,2019-2020,2020-03-01,Premier League,Matchweek 28,Home,D 1–1,Everton,Manchester Utd
Tom Davies,2019-2020,2020-03-08,Premier League,Matchweek 29,Away,L 0–4,Everton,Chelsea
César Azpilicueta,2017-2018,2018-03-18,FA Cup,Quarter-finals,Away,W 2–1,Chelsea,Leicester City
César Azpilicueta,2017-2018,2018-03-27,Friendlies (M),Friendlies (M),Home,W 6–1,Spain,Argentina
César Azpilicueta,2017-2018,2018-04-01,Premier League,Matchweek 32,Home,L 1–3,Chelsea,Tottenham
César Azpilicueta,2017-2018,2018-04-08,Premier League,Matchweek 33,Home,D 1–1,Chelsea,West Ham
César Azpilicueta,2017-2018,2018-04-14,Premier League,Matchweek 34,Away,W 3–2,Chelsea,Southampton
César Azpilicueta,2017-2018,2018-04-19,Premier League,Matchweek 31,Away,W 2–1,Chelsea,Burnley
César Azpilicueta,2017-2018,2018-04-22,FA Cup,Semi-finals,Home,W 2–0,Chelsea,Southampton
César Azpilicueta,2017-2018,2018-04-28,Premier League,Matchweek 36,Away,W 1–0,Chelsea,Swansea City
César Azpilicueta,2017-2018,2018-05-06,Premier League,Matchweek 37,Home,W 1–0,Chelsea,Liverpool
César Azpilicueta,2017-2018,2018-05-09,Premier League,Matchweek 35,Home,D 1–1,Chelsea,Huddersfield
César Azpilicueta,2017-2018,2018-05-13,Premier League,Matchweek 38,Away,L 0–3,Chelsea,Newcastle Utd
César Azpilicueta,2017-2018,2018-05-19,FA Cup,Final,Home,W 1–0,Chelsea,Manchester Utd
Ibrahim Amadou,2017-2018,2017-08-13,Ligue 1,Matchweek 2,Away,L 0–3,Lille,Strasbourg
Ibrahim Amadou,2017-2018,2017-08-20,Ligue 1,Matchweek 3,Home,L 0–2,Lille,Caen
Ibrahim Amadou,2017-2018,2017-08-27,Ligue 1,Matchweek 4,Away,D 1–1,Lille,Angers
Ibrahim Amadou,2017-2018,2017-09-08,Ligue 1,Matchweek 5,Home,D 0–0,Lille,Bordeaux
Ibrahim Amadou,2017-2018,2017-09-16,Ligue 1,Matchweek 6,Away,L 0–1,Lille,Guingamp
Ibrahim Amadou,2017-2018,2017-09-22,Ligue 1,Matchweek 7,Home,L 0–4,Lille,Monaco
Ibrahim Amadou,2017-2018,2017-10-14,Ligue 1,Matchweek 9,Home,D 2–2,Lille,Troyes
Ibrahim Amadou,2017-2018,2017-10-29,Ligue 1,Matchweek 11,Home,L 0–1,Lille,Marseille
Ibrahim Amadou,2017-2018,2017-11-05,Ligue 1,Matchweek 12,Away,W 3–0,Lille,Metz
Ibrahim Amadou,2017-2018,2017-11-17,Ligue 1,Matchweek 13,Home,W 3–1,Lille,Saint-Étienne
Ibrahim Amadou,2017-2018,2017-11-20,Ligue 1,Matchweek 8,Away,L 0–3,Lille,Amiens
Ibrahim Amadou,2017-2018,2017-11-25,Ligue 1,Matchweek 14,Away,L 0–3,Lille,Montpellier
Michail Antonio,2018-2019,2018-08-25,Premier League,Matchweek 3,Away,L 1–3,West Ham,Arsenal
Michail Antonio,2018-2019,2018-08-28,EFL Cup,Second round,Away,W 3–1,West Ham,AFC Wimbledon
Michail Antonio,2018-2019,2018-09-01,Premier League,Matchweek 4,Home,L 0–1,West Ham,Wolves
Michail Antonio,2018-2019,2018-09-16,Premier League,Matchweek 5,Away,W 3–1,West Ham,Everton
Michail Antonio,2018-2019,2018-09-23,Premier League,Matchweek 6,Home,D 0–0,West Ham,Chelsea
Michail Antonio,2018-2019,2018-09-26,EFL Cup,Third round,Home,W 8–0,West Ham,Macclesfield
Michail Antonio,2018-2019,2018-09-29,Premier League,Matchweek 7,Home,W 3–1,West Ham,Manchester Utd
Michail Antonio,2018-2019,2018-10-05,Premier League,Matchweek 8,Away,L 0–1,West Ham,Brighton
Michail Antonio,2018-2019,2018-10-20,Premier League,Matchweek 9,Home,L 0–1,West Ham,Tottenham
Michail Antonio,2018-2019,2018-10-27,Premier League,Matchweek 10,Away,D 1–1,West Ham,Leicester City
Michail Antonio,2018-2019,2018-10-31,EFL Cup,Fourth round,Home,L 1–3,West Ham,Tottenham
Michail Antonio,2018-2019,2018-11-03,Premier League,Matchweek 11,Home,W 4–2,West Ham,Burnley
Tom Davies,2017-2018,2017-08-03,Europa Lg,Third qualifying round,Away,W 1–0,Everton,Ružomberok
Tom Davies,2017-2018,2017-08-12,Premier League,Matchweek 1,Home,W 1–0,Everton,Stoke City
Tom Davies,2017-2018,2017-08-17,Europa Lg,Play-off Round,Home,W 2–0,Everton,Hajduk Split
Tom Davies,2017-2018,2017-08-21,Premier League,Matchweek 2,Away,D 1–1,Everton,Manchester City
Tom Davies,2017-2018,2017-08-24,Europa Lg,Play-off Round,Away,D 1–1,Everton,Hajduk Split
Tom Davies,2017-2018,2017-08-27,Premier League,Matchweek 3,Away,L 0–2,Everton,Chelsea
Tom Davies,2017-2018,2017-09-09,Premier League,Matchweek 4,Home,L 0–3,Everton,Tottenham
Tom Davies,2017-2018,2017-09-17,Premier League,Matchweek 5,Away,L 0–4,Everton,Manchester Utd
Tom Davies,2017-2018,2017-09-20,EFL Cup,Third round,Home,W 3–0,Everton,Sunderland
Tom Davies,2017-2018,2017-09-23,Premier League,Matchweek 6,Home,W 2–1,Everton,Bournemouth
Tom Davies,2017-2018,2017-09-28,Europa Lg,Group stage,Home,D 2–2,Everton,Apollon Limassol
Serge Aurier,2019-2020,2020-01-11,Premier League,Matchweek 22,Home,L 0–1,Tottenham,Liverpool
Serge Aurier,2019-2020,2020-01-18,Premier League,Matchweek 23,Away,D 0–0,Tottenham,Watford
Serge Aurier,2019-2020,2020-01-22,Premier League,Matchweek 24,Home,W 2–1,Tottenham,Norwich City
Serge Aurier,2019-2020,2020-01-25,FA Cup,Fourth round,Away,D 1–1,Tottenham,Southampton
Serge Aurier,2019-2020,2020-02-02,Premier League,Matchweek 25,Home,W 2–0,Tottenham,Manchester City
Serge Aurier,2019-2020,2020-02-05,FA Cup,Fourth round,Home,W 3–2,Tottenham,Southampton
Serge Aurier,2019-2020,2020-02-16,Premier League,Matchweek 26,Away,W 3–2,Tottenham,Aston Villa
Serge Aurier,2019-2020,2020-02-19,Champions Lg,Round of 16,Home,L 0–1,Tottenham,RB Leipzig
Serge Aurier,2019-2020,2020-02-22,Premier League,Matchweek 27,Away,L 1–2,Tottenham,Chelsea
Serge Aurier,2019-2020,2020-03-01,Premier League,Matchweek 28,Home,L 2–3,Tottenham,Wolves
Serge Aurier,2019-2020,2020-03-04,FA Cup,Fifth round,Home,L 1 ,Tottenham,Norwich City
Serge Aurier,2019-2020,2020-03-07,Premier League,Matchweek 29,Away,D 1–1,Tottenham,Burnley
Jordan Ayew,2017-2018,2018-03-03,Premier League,Matchweek 29,Home,W 4–1,Swansea City,West Ham
Jordan Ayew,2017-2018,2018-03-10,Premier League,Matchweek 30,Away,D 0–0,Swansea City,Huddersfield
Jordan Ayew,2017-2018,2018-04-14,Premier League,Matchweek 34,Home,D 1–1,Swansea City,Everton
Jordan Ayew,2017-2018,2018-04-22,Premier League,Matchweek 35,Away,L 0–5,Swansea City,Manchester City
Jordan Ayew,2017-2018,2018-04-28,Premier League,Matchweek 36,Home,L 0–1,Swansea City,Chelsea
Jordan Ayew,2017-2018,2018-05-05,Premier League,Matchweek 37,Away,L 0–1,Swansea City,Bournemouth
Jordan Ayew,2017-2018,2018-05-08,Premier League,Matchweek 31,Home,L 0–1,Swansea City,Southampton
Jordan Ayew,2017-2018,2018-05-13,Premier League,Matchweek 38,Home,L 1–2,Swansea City,Stoke City
César Azpilicueta,2018-2019,2019-02-14,Europa Lg,Round of 32,Away,W 2–1,Chelsea,Malmö
César Azpilicueta,2018-2019,2019-02-18,FA Cup,Fifth round,Home,L 0–2,Chelsea,Manchester Utd
César Azpilicueta,2018-2019,2019-02-21,Europa Lg,Round of 32,Home,W 3–0,Chelsea,Malmö
César Azpilicueta,2018-2019,2019-02-24,EFL Cup,Final,Home,D 0 ,Chelsea,Manchester City
César Azpilicueta,2018-2019,2019-02-27,Premier League,Matchweek 28,Home,W 2–0,Chelsea,Tottenham
César Azpilicueta,2018-2019,2019-03-03,Premier League,Matchweek 29,Away,W 2–1,Chelsea,Fulham
César Azpilicueta,2018-2019,2019-03-10,Premier League,Matchweek 30,Home,D 1–1,Chelsea,Wolves
César Azpilicueta,2018-2019,2019-03-14,Europa Lg,Round of 16,Away,W 5–0,Chelsea,Dynamo Kyiv
César Azpilicueta,2018-2019,2019-03-17,Premier League,Matchweek 31,Away,L 0–2,Chelsea,Everton
César Azpilicueta,2018-2019,2019-03-31,Premier League,Matchweek 32,Away,W 2–1,Chelsea,Cardiff City
César Azpilicueta,2018-2019,2019-04-03,Premier League,Matchweek 27,Home,W 3–0,Chelsea,Brighton
Angeliño,2018-2019,2019-04-21,Dutch Eredivisie,Regular Season,Home,W 3–1,PSV Eindhoven,ADO Den Haag
Angeliño,2018-2019,2019-04-25,Dutch Eredivisie,Regular Season,Away,W 3–0,PSV Eindhoven,Willem II
Angeliño,2018-2019,2019-05-12,Dutch Eredivisie,Regular Season,Away,L 0–1,PSV Eindhoven,AZ Alkmaar
Angeliño,2018-2019,2019-05-15,Dutch Eredivisie,Regular Season,Home,W 3–1,PSV Eindhoven,Heracles Almelo
Ibrahim Amadou,2018-2019,2019-03-31,La Liga,Matchweek 29,Home,L 0–1,Sevilla,Valencia
Ibrahim Amadou,2018-2019,2019-04-21,La Liga,Matchweek 33,Away,L 0–3,Sevilla,Getafe
Ibrahim Amadou,2018-2019,2019-05-12,La Liga,Matchweek 37,Away,D 1–1,Sevilla,Atlético Madrid
Ibrahim Amadou,2018-2019,2019-05-18,La Liga,Matchweek 38,Home,W 2–0,Sevilla,Athletic Club
Florin Andone,2017-2018,2017-08-26,La Liga,Matchweek 2,Away,D 2–2,La Coruña,Levante
Florin Andone,2017-2018,2017-09-01,WCQ — UEFA (M),First round,Home,W 1–0,Romania,Armenia
Florin Andone,2017-2018,2017-09-04,WCQ — UEFA (M),First round,Away,L 0–1,Romania,Montenegro
Florin Andone,2017-2018,2017-09-10,La Liga,Matchweek 3,Home,L 2–4,La Coruña,Real Sociedad
Florin Andone,2017-2018,2017-09-16,La Liga,Matchweek 4,Away,L 1–2,La Coruña,Betis
Florin Andone,2017-2018,2017-09-20,La Liga,Matchweek 5,Home,W 1–0,La Coruña,Alavés
Florin Andone,2017-2018,2017-09-24,La Liga,Matchweek 6,Away,L 1–4,La Coruña,Espanyol
Florin Andone,2017-2018,2017-09-30,La Liga,Matchweek 7,Home,W 2–1,La Coruña,Getafe
Florin Andone,2017-2018,2017-10-05,WCQ — UEFA (M),First round,Home,W 3–1,Romania,Kazakhstan
Florin Andone,2017-2018,2017-10-08,WCQ — UEFA (M),First round,Away,D 1–1,Romania,Denmark
Florin Andone,2017-2018,2017-10-15,La Liga,Matchweek 8,Away,D 0–0,La Coruña,Eibar
Faustino Anjorin,2019-2020,2019-08-19,PL2 — Div. 1,Matchweek 2,Home,W 3–0,Chelsea,Liverpool
Faustino Anjorin,2019-2020,2019-08-23,PL2 — Div. 1,Matchweek 3,Away,D 2–2,Chelsea,Manchester City
Faustino Anjorin,2019-2020,2019-08-30,PL2 — Div. 1,Matchweek 4,Home,D 2–2,Chelsea,Tottenham
Faustino Anjorin,2019-2020,2019-09-13,PL2 — Div. 1,Matchweek 5,Home,W 2–1,Chelsea,Brighton
Faustino Anjorin,2019-2020,2019-09-21,PL2 — Div. 1,Matchweek 6,Away,W 2–0,Chelsea,Southampton
Faustino Anjorin,2019-2020,2019-09-25,EFL Cup,Third round,Home,W 7–1,Chelsea,Grimsby Town
Faustino Anjorin,2019-2020,2019-09-28,PL2 — Div. 1,Matchweek 7,Away,D 2–2,Chelsea,Leicester City
Faustino Anjorin,2019-2020,2019-12-14,PL2 — Div. 1,Matchweek 13,Away,D 1–1,Chelsea,Liverpool
Faustino Anjorin,2019-2020,2020-01-24,PL2 — Div. 1,Matchweek 9,Away,D 2–2,Chelsea,Everton
Faustino Anjorin,2019-2020,2020-01-31,PL2 — Div. 1,Matchweek 16,Home,D 2–2,Chelsea,Leicester City
Faustino Anjorin,2019-2020,2020-02-17,PL2 — Div. 1,Matchweek 17,Away,W 2–1,Chelsea,Arsenal
Serge Aurier,2017-2018,2017-09-05,WCQ — CAF (M),Third round,Home,L 1–2,Côte d'Ivoire,Gabon
Serge Aurier,2017-2018,2017-09-13,Champions Lg,Group stage,Home,W 3–1,Tottenham,Dortmund
Serge Aurier,2017-2018,2017-09-16,Premier League,Matchweek 5,Home,D 0–0,Tottenham,Swansea City
Serge Aurier,2017-2018,2017-09-23,Premier League,Matchweek 6,Away,W 3–2,Tottenham,West Ham
Serge Aurier,2017-2018,2017-09-26,Champions Lg,Group stage,Away,W 3–0,Tottenham,APOEL FC
Serge Aurier,2017-2018,2017-10-06,WCQ — CAF (M),Third round,Away,D 0–0,Côte d'Ivoire,Mali
Serge Aurier,2017-2018,2017-10-17,Champions Lg,Group stage,Away,D 1–1,Tottenham,Real Madrid
Serge Aurier,2017-2018,2017-10-22,Premier League,Matchweek 9,Home,W 4–1,Tottenham,Liverpool
Serge Aurier,2017-2018,2017-10-28,Premier League,Matchweek 10,Away,L 0–1,Tottenham,Manchester Utd
Serge Aurier,2017-2018,2017-11-05,Premier League,Matchweek 11,Home,W 1–0,Tottenham,Crystal Palace
Serge Aurier,2017-2018,2017-11-11,WCQ — CAF (M),Third round,Home,L 0–2,Côte d'Ivoire,Morocco
Serge Aurier,2017-2018,2017-11-21,Champions Lg,Group stage,Away,W 2–1,Tottenham,Dortmund
Michail Antonio,2017-2018,2017-08-19,Premier League,Matchweek 2,Away,L 2–3,West Ham,Southampton
Michail Antonio,2017-2018,2017-08-26,Premier League,Matchweek 3,Away,L 0–3,West Ham,Newcastle Utd
Michail Antonio,2017-2018,2017-09-11,Premier League,Matchweek 4,Home,W 2–0,West Ham,Huddersfield
Michail Antonio,2017-2018,2017-09-16,Premier League,Matchweek 5,Away,D 0–0,West Ham,West Brom
Michail Antonio,2017-2018,2017-09-23,Premier League,Matchweek 6,Home,L 2–3,West Ham,Tottenham
Michail Antonio,2017-2018,2017-09-30,Premier League,Matchweek 7,Home,W 1–0,West Ham,Swansea City
Michail Antonio,2017-2018,2017-10-14,Premier League,Matchweek 8,Away,D 1–1,West Ham,Burnley
Michail Antonio,2017-2018,2017-10-20,Premier League,Matchweek 9,Home,L 0–3,West Ham,Brighton
Michail Antonio,2017-2018,2017-10-28,Premier League,Matchweek 10,Away,D 2–2,West Ham,Crystal Palace
Michail Antonio,2017-2018,2017-11-29,Premier League,Matchweek 14,Away,L 0–4,West Ham,Everton
Michail Antonio,2017-2018,2017-12-03,Premier League,Matchweek 15,Away,L 1–2,West Ham,Manchester City
Michail Antonio,2017-2018,2017-12-09,Premier League,Matchweek 16,Home,W 1–0,West Ham,Chelsea
Michail Antonio,2017-2018,2017-12-13,Premier League,Matchweek 17,Home,D 0–0,West Ham,Arsenal
Michail Antonio,2017-2018,2017-12-16,Premier League,Matchweek 18,Away,W 3–0,West Ham,Stoke City
Michail Antonio,2017-2018,2017-12-23,Premier League,Matchweek 19,Home,L 2–3,West Ham,Newcastle Utd
César Azpilicueta,2017-2018,2018-06-03,Friendlies (M),Friendlies (M),Home,D 1–1,Spain,Switzerland
Ibrahim Amadou,2017-2018,2017-11-29,Ligue 1,Matchweek 15,Away,W 2–1,Lille,Lyon
Ibrahim Amadou,2017-2018,2017-12-02,Ligue 1,Matchweek 16,Home,W 1–0,Lille,Toulouse
Ibrahim Amadou,2017-2018,2017-12-09,Ligue 1,Matchweek 17,Away,L 1–3,Lille,Paris S-G
Ibrahim Amadou,2017-2018,2017-12-16,Ligue 1,Matchweek 18,Away,L 0–3,Lille,Dijon
Ibrahim Amadou,2017-2018,2018-01-06,Coupe de France,Round of 64,Away,W 4–2,Lille,Le Mans
Ibrahim Amadou,2017-2018,2018-01-13,Ligue 1,Matchweek 20,Away,W 1–0,Lille,Caen
Ibrahim Amadou,2017-2018,2018-01-17,Ligue 1,Matchweek 21,Home,L 1–2,Lille,Rennes
Ibrahim Amadou,2017-2018,2018-01-20,Ligue 1,Matchweek 22,Away,L 0–1,Lille,Troyes
Ibrahim Amadou,2017-2018,2018-01-25,Coupe de France,Round of 32,Away,L 1–2,Lille,Strasbourg
Ibrahim Amadou,2017-2018,2018-01-28,Ligue 1,Matchweek 23,Home,W 2–1,Lille,Strasbourg
Ibrahim Amadou,2017-2018,2018-02-03,Ligue 1,Matchweek 24,Home,L 0–3,Lille,Paris S-G
Ibrahim Amadou,2017-2018,2018-02-11,Ligue 1,Matchweek 25,Away,D 2–2,Lille,Nantes
Ibrahim Amadou,2017-2018,2018-02-18,Ligue 1,Matchweek 26,Home,D 2–2,Lille,Lyon
Ibrahim Amadou,2017-2018,2018-02-24,Ligue 1,Matchweek 27,Home,L 1–2,Lille,Angers
Michail Antonio,2018-2019,2018-11-10,Premier League,Matchweek 12,Away,D 1–1,West Ham,Huddersfield
Michail Antonio,2018-2019,2018-11-24,Premier League,Matchweek 13,Home,L 0–4,West Ham,Manchester City
Michail Antonio,2018-2019,2018-12-04,Premier League,Matchweek 15,Home,W 3–1,West Ham,Cardiff City
Michail Antonio,2018-2019,2018-12-15,Premier League,Matchweek 17,Away,W 2–0,West Ham,Fulham
Michail Antonio,2018-2019,2018-12-22,Premier League,Matchweek 18,Home,L 0–2,West Ham,Watford
Michail Antonio,2018-2019,2018-12-27,Premier League,Matchweek 19,Away,W 2–1,West Ham,Southampton
Michail Antonio,2018-2019,2018-12-30,Premier League,Matchweek 20,Away,L 0–2,West Ham,Burnley
Michail Antonio,2018-2019,2019-01-02,Premier League,Matchweek 21,Home,D 2–2,West Ham,Brighton
Michail Antonio,2018-2019,2019-01-05,FA Cup,Third round,Home,W 2–0,West Ham,Birmingham City
Michail Antonio,2018-2019,2019-01-12,Premier League,Matchweek 22,Home,W 1–0,West Ham,Arsenal
Michail Antonio,2018-2019,2019-01-19,Premier League,Matchweek 23,Away,L 0–2,West Ham,Bournemouth
Michail Antonio,2018-2019,2019-01-26,FA Cup,Fourth round,Away,L 2–4,West Ham,AFC Wimbledon
